code;about;price;photo;in_stock
TAC110951;ريشة حديد 9.5 مم موديل M2 ماركة TOTAL;2.28;https://hawarastore.com/wp-content/uploads/2024/05/TAC110201-15.png;yes
TAC111050;ريشة حديد 10 مم موديل M2 ماركة TOTAL حديث;2.63;https://hawarastore.com/wp-content/uploads/2024/10/TAC111050.png;no
TAC111051;ريشة حديد 10.5 مم موديل M2 ماركة TOTAL;3.5;https://hawarastore.com/wp-content/uploads/2024/05/TAC110201-17.png;no
TAC111101;ريشة حديد 11 مم موديل M2 ماركةTOTAL;3.06;https://hawarastore.com/wp-content/uploads/2024/05/TAC110201-18.png;yes
TAC111151;ريشة حديد 11.5 مم موديل M2 ماركة TOTAL;3.28;https://hawarastore.com/wp-content/uploads/2024/05/TAC110201-19.png;yes
TAC111201;ريشة حديد 12 مم موديل M2 ماركةTOTAL;3.5;https://hawarastore.com/wp-content/uploads/2024/05/TAC110201-20.png;yes
TAC111251;ريشة حديد 12.5 مم موديل M2 ماركة TOTAL;3.82;https://hawarastore.com/wp-content/uploads/2024/05/TAC110201-21.png;yes
TAC111254;ديسك قص الماس 5 انش TOTAL لزوم قصاصة جدران TWLC1256 رطب+جاف;2.58;https://hawarastore.com/wp-content/uploads/2024/03/TAC111254.png;no
TAC111301;ريشة حديد 13 مم موديل M2 ماركةTOTAL;4.14;https://hawarastore.com/wp-content/uploads/2024/05/TAC110201-24.png;yes
TAC111601;ريشة حديد 16 مم موديل M2 ماركةTOTAL;10.97;https://hawarastore.com/wp-content/uploads/2024/05/TAC110201-25.png;no
TAC11203001;ريشة حديد 3 ملم طول 120 مم سرعات عالية خليط كوبالت صناعي عدد 2 ريشه على كرت ماركة TOTAL;0.85;https://hawarastore.com/wp-content/uploads/2025/08/TAC11203001.png;yes
TAC11204001;ريشة حديد 4 ملم طول 120 مم سرعات عالية خليط كوبالت صناعي ماركة TOTAL;0.75;https://hawarastore.com/wp-content/uploads/2025/08/TAC11204001.png;no
TAC11205001;ريشة حديد 5 ملم طول 120 مم سرعات عالية خليط كوبالت صناعي ماركة TOTAL;1.06;https://hawarastore.com/wp-content/uploads/2025/08/TAC11205001.png;yes
TAC11206001;ريشة حديد 6 ملم طول 120 مم سرعات عالية خليط كوبالت صناعي ماركة TOTAL;1.3;https://hawarastore.com/wp-content/uploads/2025/08/TAC11206001.png;no
TAC1200014;ريشة حديد 1 مم موديل HSS4341 عدد 2 على كرت ماركة TOTAL;0.25;https://hawarastore.com/wp-content/uploads/2025/08/TAC1200014.png;yes
TAC1200024;ريشة حديد 2 مم موديل HSS4341 عدد 2 على كرت ماركة TOTAL;0.28;https://hawarastore.com/wp-content/uploads/2025/08/TAC1200024.png;yes
TAC1200034;ريشة حديد 3 مم موديل HSS4341 عدد 2 على كرت ماركة TOTAL;0.35;https://hawarastore.com/wp-content/uploads/2025/08/TAC1200034.png;yes
TAC1200101;ريشة حديد 10مم موديل M2 ماركةTOTAL موديل حديث;2.44;;no
TAC1200102;ريشة حديد 1 مم موديل M2 عدد 2 على كرت ماركة TOTAL;0.28;https://hawarastore.com/wp-content/uploads/2025/08/TAC1200102.png;yes
TAC1200152;ريشة حديد 1.5. مم موديل M2 عدد 2 على كرت ماركة TOTAL;0.31;https://hawarastore.com/wp-content/uploads/2025/08/TAC1200152.png;yes
TAC1200154;ريشة حديد 1.5 مم موديل HSS4341 عدد 2 على كرت ماركة TOTAL;0.26;https://hawarastore.com/wp-content/uploads/2025/08/TAC1200154.png;yes
TAC1200202;ريشة حديد 2 مم موديل M2 عدد 2 على كرت ماركة TOTAL;0.35;https://hawarastore.com/wp-content/uploads/2025/08/TAC1200202.png;yes
TAC1200252;ريشة حديد 2.5 مم موديل M2 ماركة TOTAL;0.38;;no
TAC1200254;ريشة حديد 2.5 مم موديل HSS4341 عدد 2 على كرت ماركة TOTAL;0.31;https://hawarastore.com/wp-content/uploads/2025/08/TAC1200254.png;yes
TAC1200302;ريشة حديد 3 مم موديل M2 ماركة TOTAL;0.53;https://hawarastore.com/wp-content/uploads/2025/08/TAC1200302.png;no
TAC1200351;ريشة حديد 3.5 مم طول 70 مم موديل M2 ماركة TOTAL;0.39;;no
TAC1200354;ريشة حديد 3.5 مم موديل HSS4341 ماركة TOTAL;0.28;https://hawarastore.com/wp-content/uploads/2025/08/TAC1200354.png;yes
TAC1200401;ريشة حديد 4 ملم موديل M2 ماركة TOTAL;0.44;https://hawarastore.com/wp-content/uploads/2025/08/TAC1200401.png;yes
TAC1200404;ريشة حديد 4 مم موديل HSS4341 ماركة TOTAL;0.31;https://hawarastore.com/wp-content/uploads/2025/08/TAC1200404.png;yes
TAC1200451;ريشة حديد 4.5 مم موديل M2 ماركة TOTAL;0.52;https://hawarastore.com/wp-content/uploads/2025/08/TAC1200451.png;yes
